banner,date,new_servant,limited_servant,event_type,event_type_2
Revival: Christmas 2017 Pickup Summon,11/13/2018,no,yes,event,holiday
Thanksgiving 2018 Pickup Summon (Daily),11/18/2018,no,yes,event,holiday
Christmas 2018 Pickup Summon,11/26/2018,yes,yes,event,holiday
Christmas 2018 Pickup 2 Summon,12/2/2018,no,yes,event,holiday
Babylonia Pickup Summon,12/5/2018,yes,yes,singularity,
Babylonia 2 Pickup Summon,12/12/2018,yes,no,singularity,
Solomon Pickup Summon,12/20/2018,yes,yes,singularity,
2019 New Years' Guaranteed Gacha,12/31/2018,no,yes,guaranteed,holiday
New Year 2019 Summoning Campaign,12/31/2018,yes,yes,pickup,holiday
"""First Hassan"" Pickup Summon",1/9/2019,yes,yes,pickup,
Revival: Moon Goddess Pickup Summon,1/16/2019,no,no,event,
Revival: Edmond Dantes Pickup Summon,1/23/2019,no,yes,event,
5 Million Downloads Pickup Summon,1/30/2019,no,yes,milestone,
Valentine 2019 Pickup Summon - Ladies 1,2/6/2019,yes,yes,event,holiday
Valentine 2019 Pickup Summon - Gentlemen,2/6/2019,no,yes,event,holiday
Valentine 2019 Pickup Summon - Ladies 2,2/8/2019,no,yes,event,holiday
"""FGO U.S.A. Tour 2019"" Kickoff! Singularity Pickup Summon (Daily)",2/18/2019,no,no,pickup,
Shinjuku Pickup Summon,2/24/2019,yes,yes,singularity,
Shinjuku Pickup 2 Summon,3/3/2019,no,no,singularity,
Revival: Chaldea Boys Collection 2018 Pickup Summon,3/6/2019,no,yes,pickup,holiday
Chaldea Boys Collection 2019 Pickup Summon (Daily),3/6/2019,yes,yes,pickup,holiday
Revival: GUDAGUDA Honnoji,3/12/2019,no,yes,event,
Class Pickup Summon (Daily),3/19/2019,no,yes,pickup,
GUDAGUDA Meiji Restoration (Daily) Pickup Summon,3/28/2019,yes,yes,event,
Fate/EXTRA CCC Pre-Release Campaign Pickup Summon (Daily),4/9/2019,no,yes,event,collab
Fate/Extra CCC Pickup Summon,4/23/2019,yes,yes,event,collab
Fate/Extra CCC Pickup Summon 2,5/1/2019,yes,yes,event,collab
6 Million Downloads Pickup Summon (Daily),5/15/2019,no,yes,milestone,
Revival: The Demonic Capital Rashomon,5/22/2019,no,yes,event,
Revival: Shinjuku Pickup Summon,5/27/2019,no,yes,event,
Revival: Onigashima Pickup Summon (Daily),6/6/2019,no,yes,event,
Agartha Pickup Summon,6/21/2019,yes,no,singularity,
Agartha Pickup Summon 2,6/27/2019,no,no,singularity,
FGO 2019 2nd Anniversary Pickup Summon (Daily),7/6/2019,yes,yes,milestone,anniversary
FGO 2019 2nd Anniversary Guaranteed Gacha,7/6/2019,no,yes,guaranteed,anniversary
Revival: Summer 2018 (Part 1),7/12/2019,no,yes,event,summer
Revival: Summer 2018 (Part 2),7/19/2019,no,yes,event,summer
Summer 2019 (Part 1),7/29/2019,yes,yes,event,summer
Summer 2019 (Part 2),8/5/2019,yes,yes,event,summer
Summer 2019 Pickup Summon (Daily),8/12/2019,no,no,event,summer
Class Pickup Summon (Daily) - Summer 2019,8/21/2019,no,yes,pickup,
Illyasviel von Einzbern Pickup Summon,8/21/2019,no,yes,pickup,collab
7M Downloads Pickup Summon (Daily),9/12/2019,no,yes,milestone,
Revival: Halloween 2018 Pickup Summon (Daily),9/19/2019,no,yes,event,holiday
Fate/stay night [Heaven's Feel] II. lost butterfly Pickup Summon (Daily),10/1/2019,yes,no,pickup,
Shimousa Pickup Summon (Daily),10/10/2019,yes,yes,singularity,
Shimousa Summoning Campaign 2,10/16/2019,yes,yes,singularity,
Halloween 2019 Pickup Summon (Daily),10/23/2019,yes,no,event,holiday
Interlude Campaign 3 Pickup Summon (Daily),10/30/2019,no,no,pickup,
8M Downloads Campaign,11/7/2019,no,yes,milestone,
Revival: Christmas 2018 Pickup Summon (Daily),11/12/2019,no,yes,event,holiday
Salem Pickup Summon (Daily),12/2/2019,yes,no,singularity,
Salem Pickup 2 Summon,12/8/2019,yes,yes,singularity,
Christmas 2019 Pickup Summon (Daily),12/16/2019,yes,yes,event,holiday
New Year's Celebration 2020 Guaranteed Summon (Class Specific),12/31/2019,no,yes,guaranteed,holiday
New Year's Celebration 2020 Summoning Campaign,1/1/2020,yes,yes,pickup,holiday
Revival: Da Vinci and the 7 Counterfeit Heroic Spirits Pickup Summon (Daily),1/10/2020,no,yes,event,
The Tale of Setsubun: Oni Pagoda Festival Pickup Summon (Daily),1/27/2020,no,yes,event,
Valentine's 2020 Pickup Summon (Daily),2/3/2020,yes,yes,event,holiday
Revival: Valentine's 2019 Pickup Summon,2/9/2020,no,yes,event,
Revival: the Garden of sinners Collaboration Pickup Summon (Daily),2/18/2020,yes,yes,event,collab
9 Million Downloads Commemorative Pickup Summon (Daily),2/24/2020,no,yes,milestone,
Chaldea Boys Collection 2020 Pickup Summon (Daily),3/5/2020,no,yes,pickup,holiday
Revival: SABER WARS - The Caliburn Awakens Pickup Summon (Daily),3/13/2020,no,yes,event,
Class-Specific Summoning Campaign 2,3/19/2020,no,yes,pickup,
Lostbelt No.1 Anastasia Chapter Release Pickup Summon,3/27/2020,yes,no,singularity,
Lostbelt No.1 Anastasia Pickup Summon 2,4/2/2020,yes,yes,singularity,
Revival: Sanzang Coming to the West Pickup Summon (Daily),4/10/2020,no,no,event,
Fate/Apocrypha × FGO Special Event Pre-Release Pickup Summon (Daily),4/19/2020,no,yes,event,collab
Fate/Apocrypha × Fate/Grand Order Special Event Pickup Summon,4/24/2020,yes,no,event,collab
Revival: GUDAGUDA Meiji Restoration Pickup Summon (Daily),5/8/2020,no,yes,event,
Okita Souji Pickup Summon,5/13/2020,no,yes,pickup,
Murder at the KOGETSUKAN,5/19/2020,no,yes,event,
10M Downloads Campaign,5/27/2020,no,yes,milestone,
GUDAGUDA Legend of the Imperial Capital Grail Pickup Summon (Daily),6/3/2020,yes,yes,event,
Lostbelt No.2 Götterdämmerung Pre-Release Napoleon Pickup Summon,6/18/2020,yes,no,singularity,
Lostbelt No.2 Götterdämmerung Pickup Summon (Daily),6/23/2020,yes,yes,singularity,
Fate/Grand Order 2020 - 3rd Anniversary Singularity Pickup Summon (Daily),7/6/2020,yes,yes,milestone,anniversary
Fate/Grand Order 3nd Anniversary Guaranteed Summon (Class Specific),7/6/2020,no,yes,guaranteed,anniversary
Revival: Dead Heat Summer Race! Pickup Summon (Daily),7/17/2020,no,yes,event,summer
Revival: Death Jail Summer Escape Pickup Summon (Daily),7/23/2020,no,yes,event,summer
Revival: Death Jail Summer Escape Pickup 2 Summon (Daily),7/24/2020,no,no,event,summer
Servant Summer Festival Pickup 1 Summon (Daily),8/3/2020,yes,yes,event,summer
Servant Summer Festival Pickup 2 Summon,8/3/2020,no,yes,event,summer
Servant Summer Festival Pickup 3 Summon (Daily),8/9/2020,yes,yes,event,summer
11 Million Downloads Pickup Summon (Daily),8/24/2020,no,yes,milestone,
Revival: Fate/Accel Zero Order Pickup Summon (Daily),8/31/2020,yes,yes,event,collab
Shuten-Douji Rank Up Quest Commemorative Pickup Summon (Daily),9/6/2020,no,yes,pickup,
Battle in New York 2020 Pickup Summon,9/14/2020,no,yes,event,lottery
Revival: Halloween 2019 Pickup Summon (Daily),9/30/2020,no,no,event,holiday
Halloween 2020 Pickup Summon (Daily),10/19/2020,no,no,event,holiday
Interlude Campaign Part 7 Pickup Summon (Daily),11/1/2020,no,no,pickup,
12 Million Downloads Pickup Summon (Daily),11/5/2020,no,yes,milestone,
Revival: Christmas 2019 Pickup Summon (Daily),11/12/2020,no,yes,event,holiday
Fate/stay night [Heaven's Feel] III. spring song Theatrical Release Pickup Summon,11/12/2020,no,no,pickup,
SIN Pickup Summon (Daily),11/26/2020,yes,no,singularity,
SIN Pickup 2 Summon,12/2/2020,yes,yes,singularity,
Christmas 2020 Pickup Summon (Daily),12/13/2020,yes,yes,event,holiday
New Year's 2021 Guaranteed Summon,1/1/2021,no,yes,guaranteed,holiday
New Year's 2021 Pickup Summon (Daily),1/1/2021,no,yes,pickup,holiday
New Year's 2021: Sparrow's Inn Daily Report Pickup Summon (Daily),1/1/2021,yes,yes,event,holiday
New Year's 2021: Sparrow's Inn Daily Report Pickup Summon 2 (Daily),1/7/2021,yes,no,event,holiday
Even More Learning with Manga! Fate/Grand Order Pickup Summon (Daily),1/13/2021,no,yes,pickup,
Revival: Magical Girl Cruise - PRISMA CODES - Re-install Pickup Summon (Daily),1/20/2021,yes,yes,event,collab
Valentine's 2021 Pickup Summon (Daily),2/3/2021,yes,yes,event,holiday
Revival: Valentine's 2020 Pickup Summon,2/9/2021,no,yes,event,holiday
Revival: Fate/EXTRA CCC Special Event Pickup Summon (Daily),2/17/2021,no,yes,event,collab
Kingprotea Pickup Summon (Daily),2/22/2021,yes,yes,event,collab
CHALDEA BOYS COLLECTION 2021 Pickup Summon (Daily),3/8/2021,no,yes,pickup,holiday
"Tokugawa Restoration Labyrinth, Ooku Pickup Summon",3/23/2021,yes,yes,event,
"Tokugawa Restoration Labyrinth, Ooku Pickup 2 Summon (Daily)",3/28/2021,no,yes,event,
"""Fate/Grand Order Absolute Demonic Front: Babylonia"" Blu-ray Box Set Release Pickup Summon (Daily)",3/29/2021,no,yes,pickup,
13 Million Downloads Pickup Summon (Daily),4/4/2021,no,yes,milestone,
Revival: GUDAGUDA Legend of the Imperial Capital Grail Pickup Summon (Daily),4/12/2021,no,yes,event,
Lord El-Melloi II's Case Files Collaboration Event Pre-Release Pickup Summon,4/25/2021,no,no,event,collab
Lord El-Melloi II's Case Files Collaboration Event Pickup Summon (Daily),4/30/2021,yes,yes,event,collab
Class Specific Pickup Summon 2021 (Daily),5/9/2021,no,yes,pickup,
A Meihousou Most Foul Pickup Summon,5/14/2021,no,yes,event,
Interlude Campaign Part 9 Pickup Summon (Daily),5/28/2021,no,no,pickup,
"Lostbelt No. 4: Saṃsāra of Genesis and Terminus, Yugakshetra Pre-Release Pickup Summon",5/30/2021,no,no,singularity,
Lostbelt No.4 Yugakshetra Pickup Summon,6/3/2021,yes,no,singularity,
Lostbelt No.4 Yugakshetra Pickup 2 Summon (Daily),6/9/2021,yes,yes,singularity,
14 Million Downloads Pickup Summon,6/16/2021,no,yes,milestone,
GUDAGUDA Final Honnoji 2021 Pickup Summon,6/20/2021,yes,yes,event,
"""Fate/Grand Order Absolute Demonic Front: Babylonia"" Blu-ray Box Set Vol. 2 Release Pickup Summon (Daily)",6/27/2021,no,yes,pickup,
FGO 2021 ~4th Anniversary~ Guaranteed Summon,7/3/2021,no,yes,guaranteed,anniversary
FGO 2021 ~4th Anniversary~ Lostbelt & Pseudo-Singularity Pickup Summon (Daily),7/3/2021,yes,yes,pickup,anniversary
Revival: Servant Summer Festival Pickup 1 Summon (Daily),7/12/2021,no,yes,event,summer
Revival: Servant Summer Festival Pickup 2 Summon,7/12/2021,no,yes,event,summer
Revival: Servant Summer Festival Pickup 3 Summon (Daily),7/18/2021,no,yes,event,summer
Las Vegas Championship Match Pickup 1 Summon (Daily),7/29/2021,yes,yes,event,summer
Summer 2021 (Sunday Only) Merlin Pickup Summon,8/1/2021,no,yes,pickup,summer
Las Vegas Championship Match Pickup 2 Summon (Daily),8/4/2021,yes,yes,event,summer
Interlude Campaign Part 10 Pickup Summon (Daily),8/18/2021,no,yes,pickup,
Class Pickup Summon (Daily) - Battle in New York 2021 Prerelease Campaign,8/25/2021,no,yes,pickup,
Battle in New York 2021 Pickup Summon,9/2/2021,no,yes,event,lottery
Back to School Campaign 2021 Pickup Summon (Daily),9/8/2021,no,yes,pickup,
FGO THE STAGE Website Release Pickup 2 Summon (Daily),9/24/2021,no,yes,pickup,
Revival: Halloween 2020 Pickup Summon (Daily),9/24/2021,no,yes,event,holiday
Fate/Grand Order THE STAGE Website Release Part 2 Pickup Summon,10/3/2021,no,yes,pickup,
Fate/Grand Order Memories I/II Craft Essence Pickup Summon,10/10/2021,no,no,pickup,
SABER WARS 2 Pre-Release Pickup Summon,10/12/2021,no,yes,event,
SABER WARS 2 Pickup Summon,10/18/2021,yes,yes,event,
SABER WARS 2 Pickup 2 Summon,10/23/2021,no,yes,event,
15 Million Downloads Pickup Summon,11/1/2021,no,yes,milestone,
Interlude Campaign Part 11 Pickup Summon (Daily),11/16/2021,no,no,pickup,
Lostbelt No.5 Atlantis Pickup Summon,12/1/2021,yes,yes,singularity,
Lostbelt No.5 Atlantis Pickup Summon 2,12/7/2021,yes,no,singularity,
Christmas 2021 Pickup Summon (Daily),12/14/2021,yes,yes,event,holiday
Happy New Year 2022 Guaranteed Lucky Bag Summon (Class-Specific),12/31/2021,no,yes,guaranteed,holiday
New Year's 2022 Pickup Summon (Daily),12/31/2021,yes,yes,pickup,holiday
Revival: New Year 2021 Event - Sparrow's Inn Daily Report Pickup Summon (Daily),1/4/2022,no,yes,event,holiday
Revival: New Year 2021 Event - Sparrow's Inn Pickup Summon 2,1/10/2022,no,no,event,holiday
Amazones.com Premium Pickup Summon (Daily),1/18/2022,no,yes,event,
Interlude Campaign Part 12 Pickup Summon (Daily),1/26/2022,no,no,pickup,
Valentine's 2022 Pickup Summon (Daily),2/1/2022,yes,yes,event,holiday
16 Million Downloads Pickup Summon,2/14/2022,no,yes,milestone,
Chaldea Boys Collection 2022 Pickup Summon (Daily),2/28/2022,yes,no,pickup,holiday
Revival: Fate/Apocrypha × Fate/Grand Order Special Event Pick-Up Summon (Daily),3/10/2022,no,yes,event,collab
Lostbelt 5.2: Olympus Pickup Summon,3/24/2022,yes,no,singularity,
Lostbelt 5.2: Olympus Pickup 2 Summon,3/30/2022,yes,yes,singularity,
